ODB Name,Step,Frame,Part Instance Name, Element Label,         IntPt,X,Y,Z,Section Name,Material Name,Section Point,         S-S11,         S-S22,         S-S33,         S-S12,         S-S13,         S-S23
C:/Users/VibDynGrp/Documents/Bahr/Code Checking/AbaqusFiles/BARC_FixedBase.odb,eig,Mode         6: Value =  5.39005E+08 Freq =   3695.0     (cycles/time),"PART-1-1",         47235,             1,   7.16410E-03,   60.6425E-03,       2.30743,"BARC-1_SET-1","ALUMINUM","",  -277.486E+09,  -15.1890E+09,  -824.761E+09,  -10.7752E+09,  -60.9319E+09,  -57.1052E+09
C:/Users/VibDynGrp/Documents/Bahr/Code Checking/AbaqusFiles/BARC_FixedBase.odb,eig,Mode         6: Value =  5.39005E+08 Freq =   3695.0     (cycles/time),"PART-1-1",         47340,             1,   6.51282E-03,   60.6425E-03,       2.33815,"BARC-1_SET-1","ALUMINUM","",   273.143E+09,   1.85808E+09,   2.17625E+12,   6.30523E+09,   94.9026E+09,   1.58357E+09
C:/Users/VibDynGrp/Documents/Bahr/Code Checking/AbaqusFiles/BARC_FixedBase.odb,eig,Mode         6: Value =  5.39005E+08 Freq =   3695.0     (cycles/time),"PART-1-1",         47426,             1,   6.51282E-03,   63.1825E-03,       2.32639,"BARC-1_SET-1","ALUMINUM","",  -149.257E+09,   261.589E+06,  -1.12979E+12,   2.84788E+09,   28.2664E+09,  -22.4919E+09
C:/Users/VibDynGrp/Documents/Bahr/Code Checking/AbaqusFiles/BARC_FixedBase.odb,eig,Mode         6: Value =  5.39005E+08 Freq =   3695.0     (cycles/time),"PART-1-1",         47550,             1,   6.51282E-03,   60.6425E-03,       2.31070,"BARC-1_SET-1","ALUMINUM","",  -169.167E+09,   2.79145E+09,  -265.863E+09,  -5.28014E+09,  -89.2706E+09,  -50.3468E+09
C:/Users/VibDynGrp/Documents/Bahr/Code Checking/AbaqusFiles/BARC_FixedBase.odb,eig,Mode         6: Value =  5.39005E+08 Freq =   3695.0     (cycles/time),"PART-1-1",         47826,             1,   5.86154E-03,   63.1825E-03,       2.31854,"BARC-1_SET-1","ALUMINUM","",  -33.0284E+09,   2.03818E+09,  -226.609E+09,   109.294E+06,   60.9913E+09,  -38.6786E+09
C:/Users/VibDynGrp/Documents/Bahr/Code Checking/AbaqusFiles/BARC_FixedBase.odb,eig,Mode         6: Value =  5.39005E+08 Freq =   3695.0     (cycles/time),"PART-1-1",         47930,             1,   5.86154E-03,   60.6425E-03,       2.30547,"BARC-1_SET-1","ALUMINUM","",  -413.291E+09,   44.2984E+09,  -1.21689E+12,  -10.4449E+09,  -43.4775E+09,  -53.4410E+09
C:/Users/VibDynGrp/Documents/Bahr/Code Checking/AbaqusFiles/BARC_FixedBase.odb,eig,Mode         6: Value =  5.39005E+08 Freq =   3695.0     (cycles/time),"PART-1-1",         48546,             1,   4.55897E-03,   63.1825E-03,       2.31331,"BARC-1_SET-1","ALUMINUM","",   123.299E+09,   8.52073E+09,   566.018E+09,  -2.33936E+09,   23.0624E+09,  -48.1886E+09
C:/Users/VibDynGrp/Documents/Bahr/Code Checking/AbaqusFiles/BARC_FixedBase.odb,eig,Mode         6: Value =  5.39005E+08 Freq =   3695.0     (cycles/time),"PART-1-1",         48676,             1,   3.90769E-03,   63.1825E-03,       2.34077,"BARC-1_SET-1","ALUMINUM","",  -347.116E+09,   8.35437E+09,  -1.47514E+12,   3.64290E+09,  -105.800E+09,   1.11017E+09
C:/Users/VibDynGrp/Documents/Bahr/Code Checking/AbaqusFiles/BARC_FixedBase.odb,eig,Mode         6: Value =  5.39005E+08 Freq =   3695.0     (cycles/time),"PART-1-1",         48701,             1,   3.90769E-03,   63.1825E-03,       2.33750,"BARC-1_SET-1","ALUMINUM","",  -321.931E+09,  -10.1702E+09,  -1.53825E+12,   3.67486E+09,  -87.8827E+09,  -484.011E+06
C:/Users/VibDynGrp/Documents/Bahr/Code Checking/AbaqusFiles/BARC_FixedBase.odb,eig,Mode         6: Value =  5.39005E+08 Freq =   3695.0     (cycles/time),"PART-1-1",         48906,             1,   3.90769E-03,   63.1825E-03,       2.31070,"BARC-1_SET-1","ALUMINUM","",   243.248E+09,   13.9021E+09,   1.00094E+12,  -3.50768E+09,  -442.439E+06,  -52.4605E+09
